FullName	Population
B73(PI550473):627C3AAXX:2:250028380	282 maize association mapping panel
B73(PI550473):627C3AAXX:3:250028507	282 maize association mapping panel
B73(PI550473):627C3AAXX:4:250028634	282 maize association mapping panel
B73(PI550473):628AGAAXX:1:250026475	282 maize association mapping panel
B73(PI550473):628AGAAXX:2:250025713	282 maize association mapping panel
B73(PI550473):628P9AAXX:2:250024957	282 maize association mapping panel
B73(PI550473):628P9AAXX:4:250025083	282 maize association mapping panel
B73(PI550473):628P9AAXX:6:250025209	282 maize association mapping panel
B73(PI550473):62P7LAAXX:1:250025587	282 maize association mapping panel
B73(PI550473):62P7LAAXX:4:250027872	282 maize association mapping panel
B73(PI550473):62P7LAAXX:5:250028126	282 maize association mapping panel
B73(PI550473):62P7LAAXX:6:250028253	282 maize association mapping panel
B73(PI550473):70980AAXX:1:250026983	282 maize association mapping panel
B73(PI550473):70980AAXX:3:250027237	282 maize association mapping panel
B73(PI550473):70980AAXX:4:250028951	282 maize association mapping panel
B73(PI550473):709G4AAXX:2:250025840	282 maize association mapping panel
B73(PI550473):709G4AAXX:3:250026348	282 maize association mapping panel
B73(PI550473):709G4AAXX:5:250026602	282 maize association mapping panel
B73(PI550473):709G4AAXX:6:250026729	282 maize association mapping panel
B73(PI550473):709G4AAXX:7:250026856	282 maize association mapping panel
B73(PI550473):MRG:2:250027110	282 maize association mapping panel
B73(PI550473):MRG:2:250027491	282 maize association mapping panel
B73(PI550473):MRG:2:250027618	282 maize association mapping panel
B73(PI550473):MRG:2:250027745	282 maize association mapping panel
B73xB97:62P7LAAXX:5:250028133	B73xB97
B73xCML103:62P7LAAXX:5:250028153	B73xCML103
B73xCML228:62P7LAAXX:5:250028163	B73xCML228
B73xCML247:62P7LAAXX:5:250028185	B73xCML247
B73xCML277:62P7LAAXX:5:250028197	B73xCML277
B73xCML322:62P7LAAXX:5:250028209	B73xCML322
B73xCML333:62P7LAAXX:5:250028221	B73xCML333
B73xCML52:627C3AAXX:4:250028721	B73xCML52
B73xCML52:62P7LAAXX:6:250028281	B73xCML52
B73xCML69:62P7LAAXX:6:250028314	B73xCML69
B73xHp301:62P7LAAXX:6:250028263	B73xHp301
B73xIl14H:62P7LAAXX:6:250028271	B73xIl14H
B73xKi11:62P7LAAXX:6:250028318	B73xKi11
B73xKi3:62P7LAAXX:6:250028310	B73xKi3
B73xKy21:62P7LAAXX:6:250028260	B73xKy21
B73xM162W:627C3AAXX:2:250028424	B73xM162W
B73xM37W:627C3AAXX:2:250028434	B73xM37W
B73xMo17:62P7LAAXX:5:250028207	B73xMo17
B73xMo18W:627C3AAXX:2:250028387	B73xMo18W
B73xMS71:627C3AAXX:3:250028572	B73xMS71
B73xNC350:627C3AAXX:3:250028531	B73xNC350
B73xNC358:627C3AAXX:3:250028563	B73xNC358
B73xOh43:627C3AAXX:3:250028541	B73xOh43
B73xOh7B:627C3AAXX:3:250028532	B73xOh7B
B73xP39:627C3AAXX:3:250028514	B73xP39
B73xTx303:627C3AAXX:3:250028534	B73xTx303
B73xTzi8:627C3AAXX:3:250028578	B73xTzi8
B97(PI564682):62P7LAAXX:4:250027958	282 maize association mapping panel
CML103(Ames27081):62P7LAAXX:4:250027883	282 maize association mapping panel
CML228(Ames27088):62P7LAAXX:4:250027960	282 maize association mapping panel
CML247(PI595541):62P7LAAXX:4:250027894	282 maize association mapping panel
CML277(PI595550):62P7LAAXX:4:250027904	282 maize association mapping panel
CML322(Ames27096):62P7LAAXX:4:250027942	282 maize association mapping panel
CML333(Ames27101):62P7LAAXX:4:250027879	282 maize association mapping panel
CML52(PI595561):62P7LAAXX:4:250027899	282 maize association mapping panel
CML69(Ames28184):62P7LAAXX:4:250027909	282 maize association mapping panel
Hp301(PI587131):62P7LAAXX:5:250028178	282 maize association mapping panel
Il14H(Ames27118):62P7LAAXX:5:250028215	282 maize association mapping panel
Ki11(Ames27124):62P7LAAXX:5:250028170	282 maize association mapping panel
Ki3(Ames27123):62P7LAAXX:5:250028180	282 maize association mapping panel
Ky21(Ames27130):628P9AAXX:2:250024968	282 maize association mapping panel
M162W(Ames27134):628P9AAXX:4:250025094	282 maize association mapping panel
M162W(Ames27134):628P9AAXX:6:250025220	282 maize association mapping panel
M37W(Ames27133):62P7LAAXX:5:250028192	282 maize association mapping panel
Mo17(PI648430):62P7LAAXX:4:250027967	282 maize association mapping panel
Mo18W(PI550441):628AGAAXX:2:250025720	282 maize association mapping panel
Mo18W(PI550441):62P7LAAXX:1:250025598	282 maize association mapping panel
MS71(PI587137):709G4AAXX:2:250025847	282 maize association mapping panel
NC350(Ames27171):62P7LAAXX:5:250028205	282 maize association mapping panel
NC358(Ames27175):628AGAAXX:1:250026482	282 maize association mapping panel
NC358(Ames27175):709G4AAXX:3:250026355	282 maize association mapping panel
Oh43(Ames19288):709G4AAXX:5:250026609	282 maize association mapping panel
Oh43(Ames19288):709G4AAXX:6:250026736	282 maize association mapping panel
Oh7B(Ames19323):70980AAXX:1:250026990	282 maize association mapping panel
Oh7B(Ames19323):709G4AAXX:7:250026863	282 maize association mapping panel
P39(Ames28186):70980AAXX:3:250027244	282 maize association mapping panel
P39(Ames28186):MRG:2:250027117	282 maize association mapping panel
Tx303(Ames19327):70980AAXX:4:250028958	282 maize association mapping panel
Tx303(Ames19327):MRG:2:250027498	282 maize association mapping panel
Tzi8(PI506246):MRG:2:250027625	282 maize association mapping panel
Tzi8(PI506246):MRG:2:250027752	282 maize association mapping panel
Z001E0001:628NHAAXX:1:250021125	B73 x B97
Z001E0001:D10RTACXX:5:250079793	B73 x B97
Z001E0002:628NHAAXX:1:250021137	B73 x B97
Z001E0002:D10RTACXX:5:250079805	B73 x B97
Z001E0003:628NHAAXX:1:250021149	B73 x B97
Z001E0003:D10RTACXX:5:250079817	B73 x B97
Z001E0004:628NHAAXX:2:250021176	B73 x B97
Z001E0004:D10RTACXX:5:250079829	B73 x B97
Z001E0005:628NHAAXX:2:250021188	B73 x B97
Z001E0005:D10RTACXX:5:250079841	B73 x B97
Z001E0006:628NHAAXX:2:250021200	B73 x B97
Z001E0006:D10RTACXX:5:250079853	B73 x B97
Z001E0007:628NHAAXX:2:250021212	B73 x B97
Z001E0007:D10RTACXX:5:250079865	B73 x B97
Z001E0008:628NHAAXX:1:250021114	B73 x B97
Z001E0008:D10RTACXX:5:250079782	B73 x B97
Z001E0009:628NHAAXX:1:250021126	B73 x B97
Z001E0009:D10RTACXX:5:250079794	B73 x B97
Z001E0010:628NHAAXX:1:250021138	B73 x B97
Z001E0010:D10RTACXX:5:250079806	B73 x B97
Z001E0011:628NHAAXX:1:250021150	B73 x B97
Z001E0011:D10RTACXX:5:250079818	B73 x B97
Z001E0011:D260TACXX:5:250178774	B73 x B97
Z001E0012:628NHAAXX:2:250021177	B73 x B97
Z001E0012:D10RTACXX:5:250079830	B73 x B97
Z001E0013:628NHAAXX:2:250021189	B73 x B97
Z001E0013:D10RTACXX:5:250079842	B73 x B97
Z001E0014:628NHAAXX:2:250021201	B73 x B97
Z001E0014:D10RTACXX:5:250079854	B73 x B97
Z001E0015:628NHAAXX:2:250021213	B73 x B97
Z001E0015:D10RTACXX:5:250079866	B73 x B97
Z001E0016:628NHAAXX:1:250021115	B73 x B97
Z001E0016:D10RTACXX:5:250079783	B73 x B97
Z001E0017:628NHAAXX:1:250021127	B73 x B97
Z001E0017:D10RTACXX:5:250079795	B73 x B97
Z001E0018:628NHAAXX:1:250021139	B73 x B97
Z001E0018:D10RTACXX:5:250079807	B73 x B97
Z001E0019:628NHAAXX:1:250021151	B73 x B97
Z001E0019:D10RTACXX:5:250079819	B73 x B97
Z001E0020:628NJAAXX:5:250024710	B73 x B97
Z001E0021:628NJAAXX:5:250024722	B73 x B97
Z001E0022:628NJAAXX:5:250024734	B73 x B97
Z001E0023:628NHAAXX:2:250021214	B73 x B97
Z001E0023:D10RTACXX:5:250079867	B73 x B97
Z001E0024:628NHAAXX:1:250021116	B73 x B97
Z001E0024:D10RTACXX:5:250079784	B73 x B97
Z001E0025:628NHAAXX:1:250021128	B73 x B97
Z001E0025:D10RTACXX:5:250079796	B73 x B97
Z001E0027:628NHAAXX:1:250021140	B73 x B97
Z001E0027:D10RTACXX:5:250079808	B73 x B97
Z001E0028:628NHAAXX:1:250021152	B73 x B97
Z001E0028:D10RTACXX:5:250079820	B73 x B97
Z001E0029:627C3AAXX:4:250028642	B73 x B97
Z001E0029:633Y5AAXX:6:250028856	B73 x B97
Z001E0029:D10RTACXX:5:250079832	B73 x B97
Z001E0029:D260TACXX:5:250178775	B73 x B97
Z001E0029:MRG:2:250042300	B73 x B97
Z001E0030:628NHAAXX:2:250021191	B73 x B97
Z001E0030:D10RTACXX:5:250079844	B73 x B97
Z001E0031:628NHAAXX:2:250021203	B73 x B97
Z001E0031:D10RTACXX:5:250079856	B73 x B97
Z001E0032:628NHAAXX:2:250021215	B73 x B97
Z001E0032:D10RTACXX:5:250079868	B73 x B97
Z001E0033:628NHAAXX:1:250021117	B73 x B97
Z001E0033:D10RTACXX:5:250079785	B73 x B97
Z001E0034:628NHAAXX:1:250021129	B73 x B97
Z001E0034:D10RTACXX:5:250079797	B73 x B97
Z001E0036:628NHAAXX:1:250021141	B73 x B97
Z001E0036:D10RTACXX:5:250079809	B73 x B97
Z001E0037:628NHAAXX:1:250021153	B73 x B97
Z001E0037:D10RTACXX:5:250079821	B73 x B97
Z001E0038:628NHAAXX:2:250021180	B73 x B97
Z001E0038:D10RTACXX:5:250079833	B73 x B97
Z001E0039:628NHAAXX:2:250021192	B73 x B97
Z001E0039:D10RTACXX:5:250079845	B73 x B97
Z001E0040:628NHAAXX:2:250021204	B73 x B97
Z001E0040:D10RTACXX:5:250079857	B73 x B97
Z001E0041:628NHAAXX:2:250021216	B73 x B97
Z001E0041:D10RTACXX:5:250079869	B73 x B97
Z001E0042:628NHAAXX:1:250021118	B73 x B97
Z001E0042:D10RTACXX:5:250079786	B73 x B97
Z001E0043:628NHAAXX:1:250021130	B73 x B97
Z001E0043:D10RTACXX:5:250079798	B73 x B97
Z001E0044:628NHAAXX:1:250021142	B73 x B97
Z001E0044:D10RTACXX:5:250079810	B73 x B97
Z001E0045:628NHAAXX:1:250021154	B73 x B97
Z001E0045:D10RTACXX:5:250079822	B73 x B97
Z001E0046:628NHAAXX:2:250021181	B73 x B97
Z001E0046:D10RTACXX:5:250079834	B73 x B97
Z001E0047:628NHAAXX:2:250021193	B73 x B97
Z001E0047:D10RTACXX:5:250079846	B73 x B97
Z001E0048:628NHAAXX:2:250021205	B73 x B97
Z001E0048:D10RTACXX:5:250079858	B73 x B97
Z001E0049:628NHAAXX:2:250021217	B73 x B97
Z001E0049:D10RTACXX:5:250079870	B73 x B97
Z001E0050:628NHAAXX:1:250021119	B73 x B97
Z001E0050:D10RTACXX:5:250079787	B73 x B97
Z001E0051:628NHAAXX:1:250021131	B73 x B97
Z001E0051:D10RTACXX:5:250079799	B73 x B97
Z001E0052:628NHAAXX:1:250021143	B73 x B97
Z001E0052:D10RTACXX:5:250079811	B73 x B97
Z001E0053:628NHAAXX:1:250021155	B73 x B97
Z001E0053:D10RTACXX:5:250079823	B73 x B97
Z001E0054:628NHAAXX:2:250021182	B73 x B97
Z001E0054:D10RTACXX:5:250079835	B73 x B97
Z001E0055:628NHAAXX:2:250021194	B73 x B97
Z001E0055:D10RTACXX:5:250079847	B73 x B97
Z001E0056:628NHAAXX:2:250021206	B73 x B97
Z001E0056:D10RTACXX:5:250079859	B73 x B97
Z001E0057:628NHAAXX:2:250021218	B73 x B97
Z001E0057:D10RTACXX:5:250079871	B73 x B97
Z001E0058:628NHAAXX:1:250021120	B73 x B97
Z001E0058:D10RTACXX:5:250079788	B73 x B97
Z001E0059:628NHAAXX:1:250021132	B73 x B97
Z001E0059:D10RTACXX:5:250079800	B73 x B97
Z001E0060:628NHAAXX:1:250021144	B73 x B97
Z001E0060:D10RTACXX:5:250079812	B73 x B97
Z001E0061:628NHAAXX:1:250021156	B73 x B97
Z001E0061:D10RTACXX:5:250079824	B73 x B97
Z001E0062:628NHAAXX:2:250021183	B73 x B97
Z001E0062:D10RTACXX:5:250079836	B73 x B97
Z001E0063:628NHAAXX:2:250021195	B73 x B97
Z001E0063:D10RTACXX:5:250079848	B73 x B97
Z001E0064:628NHAAXX:2:250021207	B73 x B97
Z001E0064:D10RTACXX:5:250079860	B73 x B97
Z001E0065:628NHAAXX:2:250021219	B73 x B97
Z001E0065:D10RTACXX:5:250079872	B73 x B97
Z001E0066:628NHAAXX:1:250021121	B73 x B97
Z001E0066:D10RTACXX:5:250079789	B73 x B97
Z001E0067:628NHAAXX:1:250021133	B73 x B97
Z001E0067:D10RTACXX:5:250079801	B73 x B97
Z001E0068:628NHAAXX:1:250021145	B73 x B97
Z001E0068:D10RTACXX:5:250079813	B73 x B97
Z001E0069:628NHAAXX:1:250021157	B73 x B97
Z001E0069:D10RTACXX:5:250079825	B73 x B97
Z001E0070:628NHAAXX:2:250021184	B73 x B97
Z001E0070:D10RTACXX:5:250079837	B73 x B97
Z001E0071:628NHAAXX:2:250021196	B73 x B97
Z001E0071:D10RTACXX:5:250079849	B73 x B97
Z001E0072:628NHAAXX:2:250021208	B73 x B97
Z001E0072:D10RTACXX:5:250079861	B73 x B97
Z001E0073:628NHAAXX:2:250021220	B73 x B97
Z001E0073:D10RTACXX:5:250079873	B73 x B97
Z001E0074:628NHAAXX:1:250021122	B73 x B97
Z001E0074:D10RTACXX:5:250079790	B73 x B97
Z001E0075:628NHAAXX:1:250021134	B73 x B97
Z001E0075:D10RTACXX:5:250079802	B73 x B97
Z001E0076:628NHAAXX:1:250021146	B73 x B97
Z001E0076:D10RTACXX:5:250079814	B73 x B97
Z001E0077:628NHAAXX:1:250021158	B73 x B97
Z001E0077:D10RTACXX:5:250079826	B73 x B97
Z001E0078:628NHAAXX:2:250021185	B73 x B97
Z001E0078:D10RTACXX:5:250079838	B73 x B97
Z001E0079:628NHAAXX:2:250021197	B73 x B97
Z001E0079:D10RTACXX:5:250079850	B73 x B97
Z001E0080:628NHAAXX:2:250021209	B73 x B97
Z001E0080:D10RTACXX:5:250079862	B73 x B97
Z001E0081:628NHAAXX:2:250021221	B73 x B97
Z001E0081:D10RTACXX:5:250079874	B73 x B97
Z001E0082:628NHAAXX:1:250021123	B73 x B97
Z001E0082:D10RTACXX:5:250079791	B73 x B97
Z001E0083:628NHAAXX:1:250021135	B73 x B97
Z001E0083:D10RTACXX:5:250079803	B73 x B97
Z001E0085:628NHAAXX:1:250021159	B73 x B97
Z001E0085:D10RTACXX:5:250079827	B73 x B97
Z001E0086:628NHAAXX:2:250021186	B73 x B97
Z001E0086:D10RTACXX:5:250079839	B73 x B97
Z001E0087:628NHAAXX:2:250021198	B73 x B97
Z001E0087:D10RTACXX:5:250079851	B73 x B97
