name	genome	stage	tissue	library	id
B97_16DAP_embryo_MN03101_B97	B97	16DAP	embryo	MN03101	B97_16DAP_embryo
B97_16DAP_embryo_MN03102_B97	B97	16DAP	embryo	MN03102	B97_16DAP_embryo
B97_16DAP_endosperm_MN03091_B97	B97	16DAP	endosperm	MN03091	B97_16DAP_endosperm
B97_16DAP_endosperm_MN03092_B97	B97	16DAP	endosperm	MN03092	B97_16DAP_endosperm
B97_8DAS_root_MN03011_B97	B97	8DAS	root	MN03011	B97_8DAS_root
B97_8DAS_root_MN03012_B97	B97	8DAS	root	MN03012	B97_8DAS_root
B97_8DAS_shoot_MN03021_B97	B97	8DAS	shoot	MN03021	B97_8DAS_shoot
B97_8DAS_shoot_MN03022_B97	B97	8DAS	shoot	MN03022	B97_8DAS_shoot
B97_R1_anther_MN03081_B97	B97	R1	anther	MN03081	B97_R1_anther
B97_R1_anther_MN03082_B97	B97	R1	anther	MN03082	B97_R1_anther
B97_V11_base_MN03031_B97	B97	V11	base	MN03031	B97_V11_base
B97_V11_base_MN03032_B97	B97	V11	base	MN03032	B97_V11_base
B97_V11_middle_MN03041_B97	B97	V11	middle	MN03041	B97_V11_middle
B97_V11_middle_MN03042_B97	B97	V11	middle	MN03042	B97_V11_middle
B97_V11_tip_MN03051_B97	B97	V11	tip	MN03051	B97_V11_tip
B97_V11_tip_MN03052_B97	B97	V11	tip	MN03052	B97_V11_tip
B97_V11_tip_MN03053_B97	B97	V11	tip	MN03053	B97_V11_tip
B97_V18_ear_MN03071_B97	B97	V18	ear	MN03071	B97_V18_ear
B97_V18_ear_MN03072_B97	B97	V18	ear	MN03072	B97_V18_ear
B97_V18_tassel_MN03061_B97	B97	V18	tassel	MN03061	B97_V18_tassel
B97_V18_tassel_MN03062_B97	B97	V18	tassel	MN03062	B97_V18_tassel
CML103_16DAP_embryo_MN04101_CML103	CML103	16DAP	embryo	MN04101	CML103_16DAP_embryo
CML103_16DAP_embryo_MN04102_CML103	CML103	16DAP	embryo	MN04102	CML103_16DAP_embryo
CML103_16DAP_endosperm_MN04091_CML103	CML103	16DAP	endosperm	MN04091	CML103_16DAP_endosperm
CML103_16DAP_endosperm_MN04092_CML103	CML103	16DAP	endosperm	MN04092	CML103_16DAP_endosperm
CML103_8DAS_root_MN04011_CML103	CML103	8DAS	root	MN04011	CML103_8DAS_root
CML103_8DAS_root_MN04012_CML103	CML103	8DAS	root	MN04012	CML103_8DAS_root
CML103_8DAS_shoot_MN04021_CML103	CML103	8DAS	shoot	MN04021	CML103_8DAS_shoot
CML103_8DAS_shoot_MN04022_CML103	CML103	8DAS	shoot	MN04022	CML103_8DAS_shoot
CML103_R1_anther_MN04081_CML103	CML103	R1	anther	MN04081	CML103_R1_anther
CML103_R1_anther_MN04082_CML103	CML103	R1	anther	MN04082	CML103_R1_anther
CML103_V11_base_MN04031_CML103	CML103	V11	base	MN04031	CML103_V11_base
CML103_V11_base_MN04032_CML103	CML103	V11	base	MN04032	CML103_V11_base
CML103_V11_middle_MN04041_CML103	CML103	V11	middle	MN04041	CML103_V11_middle
CML103_V11_middle_MN04042_CML103	CML103	V11	middle	MN04042	CML103_V11_middle
CML103_V11_tip_MN04051_CML103	CML103	V11	tip	MN04051	CML103_V11_tip
CML103_V11_tip_MN04052_CML103	CML103	V11	tip	MN04052	CML103_V11_tip
CML103_V18_ear_MN04071_CML103	CML103	V18	ear	MN04071	CML103_V18_ear
CML103_V18_ear_MN04072_CML103	CML103	V18	ear	MN04072	CML103_V18_ear
CML103_V18_tassel_MN04061_CML103	CML103	V18	tassel	MN04061	CML103_V18_tassel
CML228_16DAP_endosperm_MN06092_CML228	CML228	16DAP	endosperm	MN06092	CML228_16DAP_endosperm
CML228_8DAS_root_MN06011_CML228	CML228	8DAS	root	MN06011	CML228_8DAS_root
CML228_8DAS_root_MN06012_CML228	CML228	8DAS	root	MN06012	CML228_8DAS_root
CML228_8DAS_shoot_MN06021_CML228	CML228	8DAS	shoot	MN06021	CML228_8DAS_shoot
CML228_8DAS_shoot_MN06022_CML228	CML228	8DAS	shoot	MN06022	CML228_8DAS_shoot
CML228_R1_anther_MN06081_CML228	CML228	R1	anther	MN06081	CML228_R1_anther
CML228_R1_anther_MN06082_CML228	CML228	R1	anther	MN06082	CML228_R1_anther
CML228_V11_base_MN06031_CML228	CML228	V11	base	MN06031	CML228_V11_base
CML228_V11_base_MN06032_CML228	CML228	V11	base	MN06032	CML228_V11_base
CML228_V11_middle_MN06041_CML228	CML228	V11	middle	MN06041	CML228_V11_middle
CML228_V11_middle_MN06042_CML228	CML228	V11	middle	MN06042	CML228_V11_middle
CML228_V11_tip_MN06051_CML228	CML228	V11	tip	MN06051	CML228_V11_tip
CML228_V11_tip_MN06052_CML228	CML228	V11	tip	MN06052	CML228_V11_tip
CML228_V18_ear_MN06071_CML228	CML228	V18	ear	MN06071	CML228_V18_ear
CML228_V18_ear_MN06072_CML228	CML228	V18	ear	MN06072	CML228_V18_ear
CML228_V18_tassel_MN06061_CML228	CML228	V18	tassel	MN06061	CML228_V18_tassel
CML228_V18_tassel_MN06062_CML228	CML228	V18	tassel	MN06062	CML228_V18_tassel
CML247_16DAP_endosperm_MN07091_CML247	CML247	16DAP	endosperm	MN07091	CML247_16DAP_endosperm
CML247_16DAP_endosperm_MN07092_CML247	CML247	16DAP	endosperm	MN07092	CML247_16DAP_endosperm
CML247_8DAS_root_MN07011_CML247	CML247	8DAS	root	MN07011	CML247_8DAS_root
CML247_8DAS_root_MN07012_CML247	CML247	8DAS	root	MN07012	CML247_8DAS_root
CML247_8DAS_shoot_MN07021_CML247	CML247	8DAS	shoot	MN07021	CML247_8DAS_shoot
CML247_8DAS_shoot_MN07022_CML247	CML247	8DAS	shoot	MN07022	CML247_8DAS_shoot
CML247_R1_anther_MN07081_CML247	CML247	R1	anther	MN07081	CML247_R1_anther
CML247_R1_anther_MN07082_CML247	CML247	R1	anther	MN07082	CML247_R1_anther
CML247_V11_base_MN07031_CML247	CML247	V11	base	MN07031	CML247_V11_base
CML247_V11_base_MN07033_CML247	CML247	V11	base	MN07033	CML247_V11_base
CML247_V11_middle_MN07042_CML247	CML247	V11	middle	MN07042	CML247_V11_middle
CML247_V11_middle_MN07043_CML247	CML247	V11	middle	MN07043	CML247_V11_middle
CML247_V11_tip_MN07051_CML247	CML247	V11	tip	MN07051	CML247_V11_tip
CML247_V11_tip_MN07053_CML247	CML247	V11	tip	MN07053	CML247_V11_tip
CML247_V18_ear_MN07071_CML247	CML247	V18	ear	MN07071	CML247_V18_ear
CML247_V18_ear_MN07072_CML247	CML247	V18	ear	MN07072	CML247_V18_ear
CML247_V18_tassel_MN07061_CML247	CML247	V18	tassel	MN07061	CML247_V18_tassel
CML247_V18_tassel_MN07062_CML247	CML247	V18	tassel	MN07062	CML247_V18_tassel
CML277_8DAS_root_MN05011_CML277	CML277	8DAS	root	MN05011	CML277_8DAS_root
CML277_8DAS_root_MN05012_CML277	CML277	8DAS	root	MN05012	CML277_8DAS_root
CML277_8DAS_shoot_MN05021_CML277	CML277	8DAS	shoot	MN05021	CML277_8DAS_shoot
CML277_8DAS_shoot_MN05022_CML277	CML277	8DAS	shoot	MN05022	CML277_8DAS_shoot
CML277_R1_anther_MN05081_CML277	CML277	R1	anther	MN05081	CML277_R1_anther
CML277_R1_anther_MN05082_CML277	CML277	R1	anther	MN05082	CML277_R1_anther
CML277_V11_base_MN05031_CML277	CML277	V11	base	MN05031	CML277_V11_base
CML277_V11_base_MN05032_CML277	CML277	V11	base	MN05032	CML277_V11_base
CML277_V11_middle_MN05041_CML277	CML277	V11	middle	MN05041	CML277_V11_middle
CML277_V11_middle_MN05042_CML277	CML277	V11	middle	MN05042	CML277_V11_middle
CML277_V11_tip_MN05051_CML277	CML277	V11	tip	MN05051	CML277_V11_tip
CML277_V11_tip_MN05052_CML277	CML277	V11	tip	MN05052	CML277_V11_tip
CML277_V18_ear_MN05071_CML277	CML277	V18	ear	MN05071	CML277_V18_ear
CML277_V18_ear_MN05072_CML277	CML277	V18	ear	MN05072	CML277_V18_ear
CML277_V18_tassel_MN05061_CML277	CML277	V18	tassel	MN05061	CML277_V18_tassel
CML277_V18_tassel_MN05062_CML277	CML277	V18	tassel	MN05062	CML277_V18_tassel
CML322_16DAP_embryo_MN08101_CML322	CML322	16DAP	embryo	MN08101	CML322_16DAP_embryo
CML322_16DAP_embryo_MN08102_CML322	CML322	16DAP	embryo	MN08102	CML322_16DAP_embryo
CML322_16DAP_endosperm_MN08091_CML322	CML322	16DAP	endosperm	MN08091	CML322_16DAP_endosperm
CML322_16DAP_endosperm_MN08092_CML322	CML322	16DAP	endosperm	MN08092	CML322_16DAP_endosperm
CML322_8DAS_root_MN08011_CML322	CML322	8DAS	root	MN08011	CML322_8DAS_root
CML322_8DAS_root_MN08012_CML322	CML322	8DAS	root	MN08012	CML322_8DAS_root
CML322_8DAS_shoot_MN08021_CML322	CML322	8DAS	shoot	MN08021	CML322_8DAS_shoot
CML322_8DAS_shoot_MN08022_CML322	CML322	8DAS	shoot	MN08022	CML322_8DAS_shoot
CML322_R1_anther_MN08081_CML322	CML322	R1	anther	MN08081	CML322_R1_anther
CML322_R1_anther_MN08082_CML322	CML322	R1	anther	MN08082	CML322_R1_anther
CML322_V11_base_MN08031_CML322	CML322	V11	base	MN08031	CML322_V11_base
CML322_V11_base_MN08032_CML322	CML322	V11	base	MN08032	CML322_V11_base
CML322_V11_middle_MN08041_CML322	CML322	V11	middle	MN08041	CML322_V11_middle
CML322_V11_middle_MN08042_CML322	CML322	V11	middle	MN08042	CML322_V11_middle
CML322_V11_tip_MN08051_CML322	CML322	V11	tip	MN08051	CML322_V11_tip
CML322_V11_tip_MN08053_CML322	CML322	V11	tip	MN08053	CML322_V11_tip
CML322_V18_ear_MN08071_CML322	CML322	V18	ear	MN08071	CML322_V18_ear
CML322_V18_ear_MN08072_CML322	CML322	V18	ear	MN08072	CML322_V18_ear
CML322_V18_tassel_MN08061_CML322	CML322	V18	tassel	MN08061	CML322_V18_tassel
CML322_V18_tassel_MN08062_CML322	CML322	V18	tassel	MN08062	CML322_V18_tassel
CML333_16DAP_endosperm_MN09091_CML333	CML333	16DAP	endosperm	MN09091	CML333_16DAP_endosperm
CML333_8DAS_root_MN09011_CML333	CML333	8DAS	root	MN09011	CML333_8DAS_root
CML333_8DAS_root_MN09012_CML333	CML333	8DAS	root	MN09012	CML333_8DAS_root
CML333_8DAS_shoot_MN09021_CML333	CML333	8DAS	shoot	MN09021	CML333_8DAS_shoot
CML333_8DAS_shoot_MN09022_CML333	CML333	8DAS	shoot	MN09022	CML333_8DAS_shoot
CML333_R1_anther_MN09081_CML333	CML333	R1	anther	MN09081	CML333_R1_anther
CML333_R1_anther_MN09082_CML333	CML333	R1	anther	MN09082	CML333_R1_anther
CML333_V11_base_MN09031_CML333	CML333	V11	base	MN09031	CML333_V11_base
CML333_V11_base_MN09032_CML333	CML333	V11	base	MN09032	CML333_V11_base
CML333_V11_middle_MN09041_CML333	CML333	V11	middle	MN09041	CML333_V11_middle
CML333_V11_middle_MN09042_CML333	CML333	V11	middle	MN09042	CML333_V11_middle
CML333_V11_tip_MN09051_CML333	CML333	V11	tip	MN09051	CML333_V11_tip
CML333_V11_tip_MN09052_CML333	CML333	V11	tip	MN09052	CML333_V11_tip
CML333_V18_ear_MN09071_CML333	CML333	V18	ear	MN09071	CML333_V18_ear
CML333_V18_ear_MN09072_CML333	CML333	V18	ear	MN09072	CML333_V18_ear
CML333_V18_tassel_MN09061_CML333	CML333	V18	tassel	MN09061	CML333_V18_tassel
CML333_V18_tassel_MN09062_CML333	CML333	V18	tassel	MN09062	CML333_V18_tassel
CML52_8DAS_root_MN10011_CML52	CML52	8DAS	root	MN10011	CML52_8DAS_root
CML52_8DAS_root_MN10012_CML52	CML52	8DAS	root	MN10012	CML52_8DAS_root
CML52_8DAS_shoot_MN10021_CML52	CML52	8DAS	shoot	MN10021	CML52_8DAS_shoot
